verse_key,version_id,eng,local
GEN.17.1,1499,"When Abram was years old, the LORD appeared to Abram and said to him, I am El Shaddai. Walk with me and be trustworthy.","Jemanso Abram n daa ti niŋi yuma pisiwai ni awai, Duuma ta o saani, a ti yeli u, Mani n niŋi Naawunni so n niŋi kpeeŋu zaa daana. Wumi n tira ma jemani zaa, ka niŋina yaseesi n veela."
GEN.17.2,1499,"I will make a covenant between us and I will give you many, many descendants.","M ni digili i noori, ka ti i yaŋdamta."
GEN.17.3,1499,"Abram fell on his face, and God said to him.","Abram gba, ka zulisi o zu tiŋŋa, Naawunni yeli u."
GEN.17.4,1499,"But me, my covenant is with you; you will be the ancestor of many nations.","M digilini i ni naŋgbanaa, maa e ni niŋi balidamta yaadaba."
GEN.17.5,1499,"And because I have made you the ancestor of many nations, your name will no longer be Abram but Abraham.","E yuuri bi lee n niŋi Abram, ama Ibrahim, a kpali m loobira i ni balidamta yaadaba."
GEN.17.6,1499,"I will make you very fertile. I will produce nations from you, and kings will come from you.","M ni ti i yaŋdamta, ba seesi ni niŋi nadima, ka ba seesi ba loobi balisi."
GEN.17.7,1499,I will set up my covenant with you and your descendants after you in every generation as an enduring covenant. I will be your God and your descendants God after you.,"M ki tami naŋgbanso ni ti e ni e soosa zu yaŋseesi n ya n ti loobi balisi la, a wara saŋa ni saŋa zaa. M ni niŋi e ni e yaŋsi zaa Naawunni."
GEN.17.8,1499,"I will give you and your descendants the land in which you are immigrants, the whole land of Canaan, as an enduring possession. And I will be their God.","Keenan tiŋgbaŋaa zaa, seela e n niŋi saanaa, m ni naag u ti e ni e yaŋsi, o niŋi ba toori saŋa ni saŋa zaa, ka m niŋi ba Naawunni."
GEN.17.9,1499,"God said to Abraham, As for you, you must keep my covenant, you and your descendants in every generation.","Naawunni yeli Ibrahim, E gba daga e sagi n pa m naŋgbandigiligu a, e ni e soosa zu yaŋsi zaa."
GEN.17.10,1499,This is my covenant that you and your descendants must keep: Circumcise every male.,"E ni e yaŋsi zaa daga ya sagi, a ŋmaara ya biduusi zaa yoya."
GEN.17.11,1499,"You must circumcise the flesh of your foreskins, and it will be a symbol of the covenant between us.","Za zinaa wara, a daga e ŋmaara biduusi zaa ba n dogi e laanta yoya, o dabaanii daari. Gurunseesi ba n dogi e laanta, a ni seesi ya n da. N ŋa ni wusi maa naŋgbandigiligu ba m nini sunsuuniŋi."
GEN.17.13,1499,Be sure you circumcise those born in your household and those purchased with your silver. Your flesh will embody my covenant as an enduring covenant.,"A daga ba ŋma so zaa yoori. N ŋa ni wusi niŋgbaŋaa niŋi maa, m naŋgbandigiligu maa doni wara saŋa ni saŋa zaa."
GEN.17.14,1499,Any uncircumcised male whose flesh of his foreskin remains uncircumcised will be cut off from his people. He has broken my covenant.,"Daba zaa yoori ni bi ŋma, lala daana, ba nyisi u yi m niriba puwa, a kpali o bi pa m naŋgbandigiligu maa zu."
GEN.17.15,1499,"God said to Abraham, As for your wife Sarai, you will no longer call her Sarai. Her name will now be Sarah.","Naawunni yeli Ibrahim, A bi daga e n lee n boona e poga yuuri Sarai, za zinaa wara, o yuuri n niŋi Saara ."
GEN.17.16,1499,"I will bless her and even give you a son from her. I will bless her so that she will become nations, and kings of peoples will come from her.","M ni nafa u, o dogi biduu ti i, ka m loobi u balidamta ma, nadima ni yi o yaŋsi puwa."
GEN.17.17,1499,"Abraham fell on his face and laughed. He said to himself, Can a -year-old man become a father, or Sarah, a -year-old woman, have a child?.","Ibrahim gba, ka zulisi o zu tiŋŋa, ka laara, ka feera o sufu niŋi, Daba n tee niŋi yuma koowa, ka dogi biya? Saara n tee dogi, jemanso o n niŋi yuma pisiwai ŋa."
GEN.17.18,1499,"To God Abraham said, If only you would accept Ishmael.","Ŋama zaa nyaaŋa, o boosi Naawunni, E ki ti Isimeel o niŋi m kapete dira."
GEN.17.19,1499,"But God said, No, your wife Sarah will give birth to a son for you, and you will name him Isaac. I will set up my covenant with him and with his descendants after him as an enduring covenant.","Naawunni yeli u, Akai, e poga Saara ni dogi biduwa, e digili o yuuri Yisaaka. M ni ti naŋgbandigiligu maa ba m ninu sunsuuniŋi, a ni o yaŋsi zaa, a wara. O niŋini naŋgbandigiligu so n ka baasigu."
GEN.17.20,1499,"As for Ishmael, Ive heard your request. I will bless him and make him fertile and give him many, many descendants. He will be the ancestor of twelve tribal leaders, and I will make a great nation of him.","M wumi e suusigu, a yi Isimeel pelli, a zu, m ni nafa u, a ti u biisi ni yaŋdamta. Ni naagi u loobi nabiisi pii ni bayi ba, ka m naa o yaŋsi maa baligu loobi nivutintaasi."
GEN.17.21,1499,"But I will set up my covenant with Isaac, who will be born to Sarah at this time next year.","Ama m naŋgbandigiligu maa ni pa e bii Yisaaka niŋi, so Saara n ya n dogi yumini jemanaa zu."
GEN.17.22,1499,"When God finished speaking to him, God ascended, leaving Abraham alone.","Jemanso Naawunni n togsi Ibrahim saani baasi, o gaari."
GEN.17.23,1499,"Abraham took his son Ishmael, all those born in his household, and all those purchased with his silver—that is, every male in Abrahams household—and he circumcised the flesh of their foreskins that same day, just as God had told him to do.","A dindaari zaa, Ibrahim wumi n ti Naawunni, ka ŋma o bii Isimeel yoori, a ni daba zaa ni ba o laanta, a naa o gurunsi, seesi ba n dogi o laanta, a ni seesi zaa o n da."
GEN.17.24,1499,Abraham was years old when he circumcised the flesh of his foreskin.,"Ibrahim ni ŋma o yoori, ka o yuma pisiwai ni awai."
GEN.17.25,1499,and his son Ishmael was years old when the flesh of his foreskin was circumcised.,Ka Isimeel mi niŋi yuma pii ni ata.
GEN.17.26,1499,That same day Abraham and his son Ishmael were circumcised.,O ni o ba zaa daa ŋmani ba yoya dindaluŋko.
GEN.17.27,1499,"All the men of his household, those born in his household and those purchased with silver from foreigners, were circumcised with him.","Daba zaa n daa n ba Ibrahim laanta daa n ŋma ba yoya, a ni o guruŋseesi ba n dogi o laanta, a ni seesi ba n da."
GEN.14.1,1499,"While Amraphel was king of Shinar, Ellasars King Arioch, Elams King Chedorlaomer, and Goiims King Tidal.","Jemanso nadimseesi n daa n ya n tuusi taaba yi toowa niŋi. Nadima banaasi yuya n ŋa: Babilon naaba Amafel, Elasa naaba Ariyok, Elam naaba Kedolaama, a ni Goyiim naaba Tidal. Nadima banu mi yuya n ŋa: Sodom naaba Bera, Gomora naaba Besa, Adima naaba Sinaaba, Zeboyiim naaba Semeba, a ni Bela naaba. O yuyinni n niŋi Zowa."
GEN.14.3,1499,These latter kings formed an alliance in the Siddim Valley .,"Nadima banu maa daa n laŋsi taaba, ba wa ti zabi Sidim nantaŋŋu puwa, seela n niŋi yaarim teeku la. Yuma pii ni ayi puwa, ba daa n bani naaba Kadilaama suurisi niŋi. Yuma pii ni ata daana, ba zagsi maa ba n di n ba o suurisi niŋi. Yuma piini anaasi daana, Kedolaama ni nadima seesi n ba o saani la niŋi naŋgbanluŋko wa ti zabi n nyaŋŋi Rifam dima, a yi Asiteraf Kanayim, Zuzim dima, a yi Ham, Emim dima, a yi Kiriatam paaligu niŋi, Horiti dima, a yi Idom zoori zu, a kari ba lala wa ti paa El-Paran n niŋi tambisigu paaligu la torigu. Niŋi n na, ba pori nyaaŋa ta En-Misipa, Kadesi n na la. Ba nyaŋŋi Amaleki dima, a yi ba tiŋgbaŋŋu maa zaa niŋi, a nyaŋŋi Amori dima seesi n ba Hazazon Tama la. Niŋi n na, nadima banu la niŋi naŋgbanluŋko, ba ni ba toowa zabiriba, wa ti laŋsi Sidim falimini niŋi, a leeli yaarim teeku la. Barima n niŋi Sodom, Gomora, Adima, Zeboyiim, a ni Bela nadimaa ni ba toozabiriba niŋi siriya nisaaniŋi ba zabi nadima banaasi la."
GEN.14.9,1499,"against King Chedorlaomer of Elam, King Tidal of Goiim, King Amraphel of Shinar, and King Arioch of Ellasar, four kings against five.","seesi n niŋi, Elam, Goyiim, Babilon dima naaba ni Elasa, nadima banu ya n tuusi ba banaasi."
GEN.14.10,1499,"Now the Siddim Valley was filled with tar pits. When the kings of Sodom and Gomorrah retreated, they fell into them; and the rest fled to the mountains.","Sidim falimini maa zaa daa niŋini kootaali boga, jemanso Sodom ni Gomora nadima n zora maa, niriba maa seesi li kootaali boga maa puusi, ka ba seesi zo n du zoori zu."
GEN.14.11,1499,"They took everything from Sodom and Gomorrah, including its food supplies, and left.","Ka nadima banaasi maa ti kaasi Sodom ni Gomora dima bunso zaa nyem, haali ba bindira zaa."
GEN.14.12,1499,"They also took Lot, Abrams nephew who lived in Sodom, and everything he owned, and took off.","Ka ba gbaa Loti, Abram sunzo biya, a ni o bunso zaa nyem gaari."
GEN.14.13,1499,"When a survivor arrived, he told Abram the Hebrew, who lived near the oaks of the Amorite Mamre, who was the brother of Eshcol and Aner, Abrams treaty partners.","Daba yindaana, daa n chee n wa ti yeli Abram, Hiburu daba la, bunso zaa n niŋi. A jemani maa Abram daa n zinni leeli daba so ba n boona Mamiri, Amori daba, titintaasi see. Daba maa mabiisi n daa n niŋi Esikol ni Aneri, ba ni Abram daa n mari ni naŋgbanluŋko."
GEN.14.14,1499,"When Abram heard that his relative had been captured, he took all of the loyal men born in his household, three hundred eighteen, and went after them as far as Dan.","Jemanso Abram n wumi maa ba gbaa o sunzo bii gaari, o laŋsi o laanta puu toozabiriba zaa, ba daa n ba niriba kobsita ni pii ni banii, o mari ba kari nadima banaasi maa bobiri, a wa ti paa ba Dan tiŋgbaŋŋu niŋi."
GEN.14.15,1499,"During the night, he and his servants divided themselves up against them, attacked, and chased them to Hobah, north of Damascus.","Nisaaniŋi n na, o barigi niriba maa gbulagbula, yiiŋu, ba ŋme ba dindima maa niŋi, a nyaŋŋi ba. O kari ba lala haali, a wa ti paa Hooba, Damasika kiŋkagili sagbinni."
GEN.14.16,1499,"He brought back all of the looted property, together with his relative Lot and Lots property, wives, and people.","ba va binseesi zaa ba n naa maa. Ka mari Loti ni o bunso zaa, a ni pogiba ni nivuseesi zaa ba n ma n gaari la pori n ta."
