verse_key,version_id,eng,local
MAT.16.1,1784,The Pharisees and Sadducees came to Jesus. In order to test him they asked him to show them a sign from heaven.,"Di saha ka Farisii dimseeba, ni Saddusii dima daa ti kyɛ u saani na. Ba daa boori la ba bɛri u, lala zugu ka ba daa yɛli u, ni, u niŋma makkri tumni ka ba nya, ka di wulisi, ni, Naawunni mi u yɛla."
MAT.16.2,1784,"But he replied, At evening you say, It will be nice weather because the sky is bright red.","Ka Yisa daa labsi n‑yɛli ba, ni, Ya bu nya? - zaanoori saha ka ya gɔsiri saazugu n‑yɛtti, ni, sangbana moaaya, saa bu ya mi:."
MAT.16.3,1784,"And in the morning you say, There will be bad weather today because the sky is cloudy. You know how to make sense of the skys appearance. But you are unable to recognize the signs that point to what the time is.","asusuba muna ka ya yɛtti, ni, saa ku n‑sɔbgi vilim, saa nin mi. Tɔ - sangbana gɔsibu ŋɔn nyɛ seem ka ya mi suŋŋa, ka mun na zi pampaŋŋɔ saha ŋɔn wulisiri makkri yɛla seem. Ka wula nla?."
MAT.16.4,1784,An evil and unfaithful generation searches for a sign. But it wont receive any sign except Jonahs sign. Then he left them and went away.,"Zuna niriba wa n nyɛ ninvugbeeri ban boori zina. Ba kur bɛ la alahazibu nyaabu ni ba ti baŋŋi yɛla, amaa ba ku ti nya sɛseelli m‑paasi la anabi Gyoona alahazibu yɛla maa. Ka u daa bakki ka kyɛ ba."
MAT.16.5,1784,"When the disciples arrived on the other side of the lake, they had forgotten to bring bread.","Di saha ka ba daa kpɛ nyariŋŋu maa ni ni ba ti lɔŋŋi mɔ'ari maa, ka u nyaandɔliba maa daa tam ka bu mari boroboro."
MAT.16.6,1784,"Jesus said to them, Watch out and be on your guard for the yeast of the Pharisees and Sadducees.","Ka Yisa daa yɛli ba, ni, Ya gbaam ya mansi suŋŋa zaŋŋi n‑kyaŋŋi Farisii dima dabina la, ni Saddusii dima dinni gba."
MAT.16.7,1784,"They discussed this among themselves and said, We didnt bring any bread.","Ka ba daa piili n‑tɔ'asiri ni taaba, ni, U yɛtti la lala tin ka boroboro la zugu."
MAT.16.8,1784,"Jesus knew what they were discussing and said, You people of weak faith! Why are you discussing among yourselves the fact that you dont have any bread?.","Ka Yisa daa mi ban tɔ'asiri seelli maa, ka dizugu u daa yɛli, ni, Ya yɛddakɔŋŋniba wa! Wula ka ya tɔ'asiri taaba, ni, yan ka boroboro zugu?."
MAT.16.9,1784,Dont you understand yet? Dont you remember the five loaves that fed the five thousand and how many baskets of leftovers you gathered?.,"Ya na bu mi, bee, bu laa n‑teaai boroboro anu an tɔri n‑ti niriba tusa anu la yɛla? Ka an daa kpalim la peeri ala ka ya daa vaai?."
MAT.16.10,1784,And the seven loaves that fed the four thousand and how many large baskets of leftovers you gathered?.,"Ka boroboro ayɔpɔi n‑tisi niriba tusa anaasi la yɛla muna, peeri ala ka ya daa vaai, an daa kpalim la?."
MAT.16.11,1784,Dont you know that I wasnt talking about bread? But be on your guard for the yeast of the Pharisees and Sadducees.,"Tɔ: ka dinŋɔna wula zugu ka ya bu mi, ni, pa boroboro yɛla ka n tɔ'asi ka yɛli, ni, ya gbaam ya mansi suŋŋa zaŋŋi n‑kyaŋŋi Farisii dima dabina la, ni Saddusii dima dinni gba."
MAT.16.12,1784,"Then they understood that he wasnt telling them to be on their guard for yeast used in making bread. No, he was telling them to watch out for the teaching of the Pharisees and Sadducees.","Ka lala saha maa ka ba daa baŋŋi, ni, pa boroboro dabina yɛla ka u tɔ'asiri n‑tiri ba, amaa wulisigu yɛla, Farisii dima ni Saddusii dima ban daa wulisiri seem la, ka u tɔ'asira."
MAT.16.13,1784,"Now when Jesus came to the area of Caesarea Philippi, he asked his disciples, Who do people say the Human One is.","Ka Yisa daa kyaŋŋi nti paai tinkpanseesi an pɔri Filipi Sizarii la ni. Ka u daa boosi u nyaandɔliba maa, ni, Niriba maa yɛtti, ni, man Ninsaala Bii maa nyɛ la ŋɔni."
MAT.16.14,1784,"They replied, Some say John the Baptist, others Elijah, and still others Jeremiah or one of the other prophets.","Ka ba yɛli u, ni, Baseeba ban yɛtti, ni, Gyɔni Kɔsuura n nyɛ i; seeba mun yɛtti, ni, Ilaygya; ka seeba mun yɛtti, ni, Gyɛrimaaya, bee, kurimbuni sa anabisɔa."
MAT.16.15,1784,"He said, And what about you? Who do you say that I am.","Ka u daa yɛli ba, ni, Ka yarima muna? Ya yɛtti la wula."
MAT.16.16,1784,"Simon Peter said, You are the Christ, the Son of the living God.","Ka Saimoon Piita daa labsiya, ni, I nyɛ la Masiiya Kirisita, sɔ Naawunni ŋɔn tumni na nti tiligi ti: Naawunni ŋɔn nyɛ Nyɔvuri Daana Bii n nyɛ i."
MAT.16.17,1784,"Then Jesus replied, Happy are you, Simon son of Jonah, because no human has shown this to you. Rather my Father who is in heaven has shown you.","Ka Yisa daa labsi n‑yɛli u, ni, Mboo! Zugsuŋŋu bɛ ni n‑ti nyini, Saimoon, nyin Gyoona bii wa! Dama pa ninsaala n wulisi i lala maa, amaa m Ba ŋɔn bɛ la arizana ni maa - ŋɔna n wulisi i."
MAT.16.18,1784,I tell you that you are Peter. And Ill build my church on this rock. The gates of the underworld wont be able to stand against it.,"Man mun yɛtti i wa, ni, i yuuri boonni la Piita, ka di gbinni nyɛ la tampiiya: tɔ, n niriba nin la'am n‑tɔm tampii wa zugu, ka Sintaani suulinsi ku toaai n‑zabi ba n‑nyaŋŋi."
MAT.16.19,1784,Ill give you the keys of the kingdom of heaven. Anything you fasten on earth will be fastened in heaven. Anything you loosen on earth will be loosened in heaven.,"N nin zaŋŋi Arizana naam saafibiisi n‑ti i, ka nyin kpari bunseelli duniya wa ni, lala bunni nin ti kpari arizana ni gba, halli ka nyin kparigi bunseelli duniya wa ni, lala bunni nin ti kparigi arizana ni gba."
