verse_key,version_id,eng,local
MAT.16.1,1836,The Pharisees and Sadducees came to Jesus. In order to test him they asked him to show them a sign from heaven.,"Nɩɩ Farasii abi yɛ Sadusi abi ba ba Yesu asɛ ba ba tʋʋ mʋ tɔ kɩɩ, ɩmʋ sʋ ba tɔwɛ mʋ yɛ ɔ waa asɩn kyinkyinsa kʋ lɩɩ sʋsʋ kaapʋ bamʋ."
MAT.16.2,1836,"But he replied, At evening you say, It will be nice weather because the sky is bright red.","Nɩɩ Yesu lɛɛ bamʋ kɔnɔ yɛ, Kyɔwɛ maa kpee ɔ naa tɩyɛ mʋ, fɛn taalɛ fɛn bɩɩ fɛn tɔwɛ yɛ, Ɔkɛ kyɔwɛ ii biti ɔ da, lɩɩ fɛɛ abwaarɛ‐wʋlɛ ɩ payɩ kɔɔ."
MAT.16.3,1836,"And in the morning you say, There will be bad weather today because the sky is cloudy. You know how to make sense of the skys appearance. But you are unable to recognize the signs that point to what the time is.","Nɩɩ nyenyenfuu mɔɔ fɛn taalɛ fɛn tɔwɛ yɛ, Ndaga bʋlayɩ ii biti ɔ da, lɩɩ fɛɛ abwaarɛ‐wʋlɛ ɩ payɩ nɩɩ i bii tɔ. Fɛn taalɛ fen wu abwaarɛ‐wʋlɛ mʋ kanan mʋ nɩɩ i du, nɩɩ fɛɛ lɛɛ ɩmʋ kasɛ, amaa fɛn mɛɛ taalɛ fɛn bɩɩ nkɛ nɩmʋ tɔ asɩn, kɛ fɛn lɛɛ ɩmʋ kasɛ."
MAT.16.4,1836,An evil and unfaithful generation searches for a sign. But it wont receive any sign except Jonahs sign. Then he left them and went away.,"Fanɛ ndaga kakyɩna nɩmʋ tɔ alibi awaapʋ mʋ nɩɩ fan kina Ɩbwaarɛ. Fɛn taasɛ fen biti asɩn kyinkyinsa lɩɩ mɛ asɛ, amaa fan man yɛ fan wu asɩn kyinkyinsa kʋ, amɔɔ ɩmʋ nɩɩ ɩ waa Ɩbwaarɛ ɔtɔwɛpʋ Gyona mʋ. Yesu maa tɔwɛ kanɩn mʋ, nɩɩ ɔ yɛgɛ bamʋ nɩɩ ɔ kyʋn."
MAT.16.5,1836,"When the disciples arrived on the other side of the lake, they had forgotten to bring bread.","Abɩɩlapʋ mʋ ba maa faa kpee benbe mʋ, ba nyiŋi fɛɛ ba man taa bodobodo."
MAT.16.6,1836,"Jesus said to them, Watch out and be on your guard for the yeast of the Pharisees and Sadducees.","Nɩɩ Yesu tɔwɛ bamʋ yɛ, Fan kɩɩ danbɩrasa, kɛ fan baa fɛn da Farasii abi yɛ Sadusi abi kɩfɛ mʋ nɩɩ kii tin bodobodo mʋ sʋ."
MAT.16.7,1836,"They discussed this among themselves and said, We didnt bring any bread.","Tʋtɔ nɩɩ ba piili bɛɛ tɔwɛ abaa asɛ yɛ, A maa man bɩya bodobodo mʋ sʋ nɩɩ ɛɛ tɔwɛ kanɩn mʋ."
MAT.16.8,1836,"Jesus knew what they were discussing and said, You people of weak faith! Why are you discussing among yourselves the fact that you dont have any bread?.","Yesu maa nyi kʋtɔ mʋ nɩɩ bɛɛ tɔwɛ sʋ mʋ ɔ taasɛ bamʋ yɛ, Fanɛ mʋ nɩɩ fanɛ kɩkɔɔlɛ‐gyii kɩ man kyɔ! Mɩnɛ ɩ waa nɩɩ fɛn tɔwɛ, fanɛ kɩ man sʋ bodobodo asɩn?."
MAT.16.9,1836,Dont you understand yet? Dont you remember the five loaves that fed the five thousand and how many baskets of leftovers you gathered?.,"Fan san fan man pɩɩta nu asɩn nɩmʋ kasɛ? Saŋa mʋ nɩɩ n daa gyayɩ bodobodo anuu tɔ sa anyɩn ngbɩn nnuu mʋ, fen mee nyiŋi? Agyisan alantan afɩnɛ nɩɩ fan daa tasɛ bɔla mʋ?."
MAT.16.10,1836,And the seven loaves that fed the four thousand and how many large baskets of leftovers you gathered?.,"Abɛɛ n maa daa gyayɩ bodobodo asunɔ tɔ sa asa ngbɩn nna mʋ, agyisan alantan afɩnɛ nɩɩ fan daa taasɛ bɔla mʋ?."
