verse_key,version_id,eng,local
MAT.16.1,1323,The Pharisees and Sadducees came to Jesus. In order to test him they asked him to show them a sign from heaven.,"Tɩ Farisi dõma, la Saduse dõma basɛba wa'am Azezi zẽ'am wa bɔɔra tɩ ba makɛ ẽ bɩsɛ, yele ẽ yetɩ, a ẽŋɛ bõn-yãlma pa'alɛ tɩ ẽŋa ze'ele la Nawẽnnɛ yire."
MAT.16.2,1323,"But he replied, At evening you say, It will be nice weather because the sky is bright red.","Tɩ Azezi lerge ba yetɩ: «Zaanõorɛ, sawara sãn mõ'ogɛ, yãma yetɩ saaga kãn ni."
MAT.16.3,1323,"And in the morning you say, There will be bad weather today because the sky is cloudy. You know how to make sense of the skys appearance. But you are unable to recognize the signs that point to what the time is.","La bulika, sawara sãn mõ'ogɛ sobge, yãma yetɩ saaga n wʋn ni. Yãma bɩsrɩ la sawara mina la ãn se'em, dee ka tãna wʋn bãŋɛ bõn-sɛba n ɩtɩ lɛɛlɛ wã n pa'alɩ sɛla."
MAT.16.4,1323,An evil and unfaithful generation searches for a sign. But it wont receive any sign except Jonahs sign. Then he left them and went away.,"Zamãan-ẽna nẽrba n de nẽr-bɛ'ɛsɩ, dee ka dɔla Nawẽnnɛ la sɩra la, boorɩ tɩ ba yẽ la bõn-yãlma, la ba kãn yẽ bõn-yãlma, sãn dagna Nawẽnnɛ nõtɔ'ɔsa Azonaasɩ bõn-yãlma la.» La a basɛ ba mɛ dee fõrgɛ."
MAT.16.5,1323,"When the disciples arrived on the other side of the lake, they had forgotten to bring bread.","Tɩ ẽŋa la a karẽnbiisi la dɔɔra mõgrɛ la doone ke bɔba, tɩ a karẽnbiisi la yĩm ka dɩkɛ borborɩ."
MAT.16.6,1323,"Jesus said to them, Watch out and be on your guard for the yeast of the Pharisees and Sadducees.","Tɩ Azezi yele ba yetɩ: «Guuse-ya ya mẽŋa la Farisi dõma, la Saduse dõma dãbɩllɛ la.»."
MAT.16.7,1323,"They discussed this among themselves and said, We didnt bring any bread.",Tɩ karẽnbiisi la tẽ'esra yetɩ: «Tõma n ka dɩkɛ borborɩ la ĩyã tɩ a yele bɛla.».
MAT.16.8,1323,"Jesus knew what they were discussing and said, You people of weak faith! Why are you discussing among yourselves the fact that you dont have any bread?.","Tɩ Azezi bãŋɛ ban tẽ'esrɩ se'em na, yele ba yetɩ: «Ya ka bɔ mam sɩra zo'oge. Bẽm tɩ yãma tẽ'esra yetɩ, la de la yãma n ka tarɩ borborɩ la ĩyã?."
MAT.16.9,1323,Dont you understand yet? Dont you remember the five loaves that fed the five thousand and how many baskets of leftovers you gathered?.,"Yãma nãn ka bãŋɛ a võorɛ? Yãma ka tẽrɩ, borborɩ banuu la tɩ bʋraasɩ tʋsanuu daan di tɩgɛ deege la, yãma daan vaagɛ di-sɛba n daan deege la pɩrɛ la pɩtɔ balɛ?."
MAT.16.10,1323,And the seven loaves that fed the four thousand and how many large baskets of leftovers you gathered?.,"La borborɩ bayopɔɩ la, tɩ bʋraasɩ tʋsanaasɩ la daan di tɩgɛ deege la, yãma vaagɛ di-sɛba n deege la pɩrɛ la pɩtɔ balɛ?."
MAT.16.11,1323,Dont you know that I wasnt talking about bread? But be on your guard for the yeast of the Pharisees and Sadducees.,"Bẽm tɩ ya ka bãŋɛ tɩ la dagɩ borborɩ yelle tɩ mam tɔgrɩ la ya? Guuse ya mẽŋa la Farisi dõma, la Saduse dõma dãbɩllɛ la yelle.»."
MAT.16.12,1323,"Then they understood that he wasnt telling them to be on their guard for yeast used in making bread. No, he was telling them to watch out for the teaching of the Pharisees and Sadducees.","Tɩ ba yãŋa bãŋɛ tɩ a ka yele ba tɩ ba guuse ba mẽŋa la dãbɩllɛ sɛba tɩ ba tarɩ gaana borborɩ zom na, la de la Farisi dõma, la Saduse dõma zãsŋɔ la tɩ a tɔgrɩ."
MAT.16.13,1323,"Now when Jesus came to the area of Caesarea Philippi, he asked his disciples, Who do people say the Human One is.","Azezi daan paagɛ la tẽŋa yʋ'ʋrɛ n de Filipi Sezaare, soke a karẽnbiisi la yetɩ: «Nẽrba yetɩ mam n de Nẽrsaala Dayʋa la de la ãne?»."
MAT.16.14,1323,"They replied, Some say John the Baptist, others Elijah, and still others Jeremiah or one of the other prophets.","Tɩ ba lerge yetɩ: «Sɛba yetɩ fõn de la Azã n daan misri nẽrba ko'om pʋam na. Tɩ sɛba yetɩ fõn de la Nawẽnnɛ nõtɔ'ɔsa A'eli. Tɩ basɛba yetɩ fõn de la Nawẽnnɛ nõtɔ'ɔsa Azeremi, bɩɩ Nawẽnnɛ nõtɔ'ɔsrɩba la nẽra ayɩla.»."
MAT.16.15,1323,"He said, And what about you? Who do you say that I am.",Tɩ a lebe soke ba yetɩ: «La yãma yetɩ mam de la ãne?».
MAT.16.16,1323,"Simon Peter said, You are the Christ, the Son of the living God.","Tɩ Asimõ-pɩyɛɛrɩ lerge ẽ yetɩ: «Fõn de la Krisi, Nawẽnnɛ n de vɔm dãana la Dayʋa.»."
MAT.16.17,1323,"Then Jesus replied, Happy are you, Simon son of Jonah, because no human has shown this to you. Rather my Father who is in heaven has shown you.","Tɩ Azezi lebe yele ẽ yetɩ: «Asimõ, Azã dayʋa, fʋ tarɩ zu-yẽlga, se'ere n soe la, la dagɩ nẽrsaala n pa'alɛ fʋ wãna, la de la mam Sɔ Nawẽnnɛ n boe saazuum na."
MAT.16.18,1323,I tell you that you are Peter. And Ill build my church on this rock. The gates of the underworld wont be able to stand against it.,"Mam yetɩ fʋ tɩ fʋ de la Apɩyɛɛrɩ, a võorɛ de la tãmpĩa, la tãmpĩ-ẽna zuo tɩ mam wʋn vigle m nẽrba lagsgɔ zẽ'a. La kũm pãŋa kãn tã'agɛ ẽ."
MAT.16.19,1323,Ill give you the keys of the kingdom of heaven. Anything you fasten on earth will be fastened in heaven. Anything you loosen on earth will be loosened in heaven.,"Mam wʋn bɔ fɔ Nawẽnnɛ so'olʋm kʋlɩnbiɛ. La bõn-sɛka woo tɩ fʋ wʋn lʋ dũnia wã zuo, bõn-ẽŋa wʋn lʋ Nawẽnnɛ yire. La bõn-sɛka woo tɩ fʋ wʋn lorge dũnia wã zuo, bõn-ẽŋa wʋn lorge Nawẽnnɛ yire.»."
MAT.16.20,1323,Then he ordered the disciples not to tell anybody that he was the Christ.,"Azezi yele bɛla dee kã'an a karẽnbiisi la yetɩ, ba da yele nẽra nẽra tɩ ẽŋa de la Krisi."
MAT.16.21,1323,"From that time Jesus began to show his disciples that he had to go to Jerusalem and suffer many things from the elders, chief priests, and legal experts, and that he had to be killed and raised on the third day.","Wakat-ẽŋa tɩ Azezi daan pɔsɛ zãsna a karẽnbiisi la yetɩ: «Dẽnɩ tɩ mam sẽŋɛ Zerizalɛm, tɩ tẽŋa la kẽma, la kãabgɔ kẽma nẽŋadõma, la lɔɔ karẽnsãandõma ka nãmsɛ mam halɩ zozo'e, la ba wʋn kʋ mam mɛ. La dabsa atã daarɛ mam wʋn vo'oge.»."
MAT.16.22,1323,"Then Peter took hold of Jesus and, scolding him, began to correct him: God forbid, Lord! This wont happen to you.","Tɩ Apɩyɛɛrɩ tarɩ ẽ yese kẽnkɛrŋa ka yele ẽ yetɩ: «Zuudãana, da le tɔgɛ bɛla, Nawẽnnɛ wʋn gu fo, la kãn ẽŋɛ fʋ bɛla.»."
MAT.16.23,1323,"But he turned to Peter and said, Get behind me, Satan. You are a stone that could make me stumble, for you are not thinking Gods thoughts but human thoughts.","Tɩ Azezi gelge yele Apɩyɛɛrɩ yetɩ: «Lebe mam poorʋm, Asũtãana wã. Fõn boorɩ tɩ fʋ botɩ mam lebe la poorʋm. Fʋ tẽ'esgɔ la dagɩ Nawẽnnɛ tẽ'esgɔ, la de la nẽrsaala tẽ'esgɔ.»."
MAT.16.24,1323,"Then Jesus said to his disciples, All who want to come after me must sayno to themselves, take up their cross, and follow me.","Dee yele a karẽnbiisi la yetɩ: «Nẽra sãn bɔɔra tɩ a dɔla mam, dẽnɩ tɩ a basɛ a mẽŋa n boorɩ se'em, dee sakɛ nãmsgɔ wʋ nẽra n buke a kũm dɔ-puurŋa dɔla mam."
MAT.16.25,1323,All who want to save their lives will lose them. But all who lose their lives because of me will find them.,"Se'ere n soe la, nẽr-sɛka woo n boorɩ tɩ a gu a vɔm, a wʋn koŋe ẽ. La nẽr-sɛka woo n sakɛ tɩ a koŋe a vɔm mam ĩyã, a wʋn yẽ vɔm."
MAT.16.26,1323,Why would people gain the whole world but lose their lives? What will people give in exchange for their lives?.,"La nẽra sãn yẽ dũnia wã sɛla woo, dee koŋe vɔm Nawẽnnɛ zẽ'am, a yõorɔ de la bẽm? Sɛla ka boe tɩ nẽra wʋn dɩkɛ teege vɔm."
