verse_key,version_id,eng,local
MAT.16.1,255,The Pharisees and Sadducees came to Jesus. In order to test him they asked him to show them a sign from heaven.,"Ɛkɛ ɔkʋ Farisifɔ pʋ́ Sadukifɔ akʋ bɛba Yesu ɔsɔkɩkpa. Mʋ́ sʋ bɛbla mʋ bɛɛ, ɔbwɛ osuna pʋsuna amʋ́ ánɩ́ lɛlɛ otsu Bulu wa."
MAT.16.2,255,"But he replied, At evening you say, It will be nice weather because the sky is bright red.","Yesu lɛbla amʋ́ ɔbɛɛ, Nɩ owi ɩpɔn, nsaɩntɔ ɩpɛ a, mlɩtɛblɩ mlɩaa, Ɔkɛ nsaɩntɔ bɛ́dɩ.>."
MAT.16.3,255,"And in the morning you say, There will be bad weather today because the sky is cloudy. You know how to make sense of the skys appearance. But you are unable to recognize the signs that point to what the time is.","Nɩ nyankpʋ obila tuun nyankɩ a, mlɩtɛblɩ mlɩaa, Ndɛ nyankpʋ obótswie tsʋn afu.> Mlɩtɛtalɩ kɩ nsaɩntɔ, bɩ tɔá ɩbɛ́ba. Ntogyi sʋ mlɩmɛtalɩ nu tɔá mlɩdewun sei anfɩ mʋ́ asɩ."
MAT.16.4,255,An evil and unfaithful generation searches for a sign. But it wont receive any sign except Jonahs sign. Then he left them and went away.,"Mlɩ ndɛmba-abi lalahɛ ánɩ́ mlɩladalɩ Bulu ɔma, mlɩdɛ osuna dunka amlɩwun, tamɛ mlɩmóowun kʋkʋʋkʋ dʋn Bulu ɔnɔsʋ ɔtɔɩpʋ Yona osuna amʋ odu. Ɩnɩ sʋ ɔlɛnatɩ si amʋ́."
MAT.16.5,255,"When the disciples arrived on the other side of the lake, they had forgotten to bring bread.",Yesu akasɩpʋ amʋ bʋmɛkaɩn tsu bodobodo kɩta asa bɛfa ɔpʋ amʋ yɔ ɔbɩn.
MAT.16.6,255,"Jesus said to them, Watch out and be on your guard for the yeast of the Pharisees and Sadducees.","Yesu lɛda amʋ́ ɔla ɔbɛɛ, Mlɩkɩ wanklaan Farisifɔ pʋ́ Sadukifɔ bodobodotu-afasʋ."
MAT.16.7,255,"They discussed this among themselves and said, We didnt bring any bread.","Akasɩpʋ amʋ bɛfɩtɛ aba bɛɛ, Bodobodo amʋʋ anɩmɛdɛ amʋ sʋ ɔdɛ asʋn anfɩ blɩ loo."
MAT.16.8,255,"Jesus knew what they were discussing and said, You people of weak faith! Why are you discussing among yourselves the fact that you dont have any bread?.","Yesu lonu asʋn ánɩ́ bʋdɛblɩ. Mʋʋ ɔlɛbla amʋ́ ɔbɛɛ, Oo, mlɩ hogyi mɔtsɔ. Ntogyi sʋ mlɩdɛblɩ mlɩaa, bodobodo amʋʋ mlɩmɛdɛ amʋ sʋ?."
MAT.16.9,255,Dont you understand yet? Dont you remember the five loaves that fed the five thousand and how many baskets of leftovers you gathered?.,Ɩmɔkʋwankɩ mlɩ kɩ? Mlɩlatan bodobodo apin anu amʋʋ nɛha aha mpɩm-nu begyi amʋsʋ? Alakpa afɩnɩ lesian mlɩlɔtɔsɩ?.
MAT.16.10,255,And the seven loaves that fed the four thousand and how many large baskets of leftovers you gathered?.,Ntɛ mlɩlatan bodobodo apin asienɔ amʋʋ nɛha aha mpɩm-na begyi amʋsʋ? Alakpa afɩnɩ lesian mlɩlɔtɔsɩ.
