verse_key,version_id,eng,local
MAT.16.1,1795,The Pharisees and Sadducees came to Jesus. In order to test him they asked him to show them a sign from heaven.,"Wee daale nɛ, Farasiitena na Sadukiitena kɔŋawɔ Yesu gyaŋ kaa teese e ɔ nɔɔman nyi waa yɛɛ gyakoloŋ nombia wola wɔ, na kawola nyi ɔ lee Wurubuarɛ gyaŋ ampaŋ."
MAT.16.2,1795,"But he replied, At evening you say, It will be nice weather because the sky is bright red.","Keŋte Yesu tiranɔɔ fa wɔ nyiaa, De lii balinɔɔ te ŋɔma yasɛɛ na ɛ ne tale naa yako nyi, tɛɛ de naa na weese waa gyɔ."
MAT.16.3,1795,"And in the morning you say, There will be bad weather today because the sky is cloudy. You know how to make sense of the skys appearance. But you are unable to recognize the signs that point to what the time is.","Te nebo mɔ na, ɛ ne tale kɛɛ ŋɔma dinɔɔ yako nyi gyɛŋ ɔga waa ŋɛɛ. Ɛ ne tale kɛɛ ŋɔma na ɛ kawola kpene keŋ gyae ke kɔŋ. Mɔna nombia ŋan ne yɛɛ debaŋ kei man nɛ, ɛ bɛɛ tale wola ŋe man ya."
MAT.16.4,1795,An evil and unfaithful generation searches for a sign. But it wont receive any sign except Jonahs sign. Then he left them and went away.,"Ɛmɛɛ gyɛŋ wee kei balaŋ, ɛ yɛɛ balaŋ kumɛɛwɔ te ɛ bee yee Wurubuarɛ ya. Ɛ ne gyae nyi maa yɛɛ gyakoloŋ nombia ɛ kena, mɔna mɔɔ gyae maa yɛɛ gyakoloŋ nombia kamasɛ wola ŋon kpu na ŋan be kɔŋ Wurubuarɛ dekpeŋkpeŋgyɔɔre Gyona dɔɔ nɛ ya. Keŋte Yesu leewɔ be gyaŋ laŋ tina wɔ yela."
MAT.16.5,1795,"When the disciples arrived on the other side of the lake, they had forgotten to bring bread.","Yesu na ɔ kaseela ka toŋ gyu boo keŋ diŋgyiŋ nɛ, ɔ kaseela baŋ wolee bodobodo ka mo bo."
MAT.16.6,1795,"Jesus said to them, Watch out and be on your guard for the yeast of the Pharisees and Sadducees.","Keŋte Yesu faree wɔ nyiaa, ɛ kɛɛ ɛ wose man nideli lee Farasiitena na Sadukiitena wose man. Nawolo nyi be dinɔɔ yɛɛ ŋgba tee keŋ bɛɛ mo do bodobodo man te kɛɛ koro nɛ."
MAT.16.7,1795,"They discussed this among themselves and said, We didnt bring any bread.","Mena dɔɔ ɔ kaseela baŋ bɔɔse dɔŋa nyiaa, Keŋ de ta mo bodobodo kɔŋ dɔɔ ya te ɔ ne yako mena nombia kɛŋa yaa."
MAT.16.8,1795,"Jesus knew what they were discussing and said, You people of weak faith! Why are you discussing among yourselves the fact that you dont have any bread?.","Na Yesu ta gyeŋ kpene keŋ bee kolosi na dɔŋa nɛ te ɔ yako wɔ nyiaa, Ɛ kelɛɛdi ta boo ya. Weera dɔɔ te ɛ ne kolosi nyi ɛ ta mo bodobodo tela ya?."
MAT.16.9,1795,Dont you understand yet? Dont you remember the five loaves that fed the five thousand and how many baskets of leftovers you gathered?.,"Mena dɔɔ ɛ sɛɛ ɛ te nyii ta me nombia man yee? Ɛ bɛɛ tɔɔse bodobodose anoŋ ŋan mɔɔ kɛrɛɛ fa balaŋ kakpoŋse banoŋ, na ŋan bɔɔ dii kaase te ɛ be tɔɔsee wulu doŋase nɛ yee?."
MAT.16.10,1795,And the seven loaves that fed the four thousand and how many large baskets of leftovers you gathered?.,"Yaa ɛ bɛɛ tɔɔse bodobodose nyetooro ŋan balaŋ kakpoŋse banaara be dii, na ŋan bɔɔ dii kaase te ɛ be tɔɔsee wulu doŋase nɛ yee?."
MAT.16.11,1795,Dont you know that I wasnt talking about bread? But be on your guard for the yeast of the Pharisees and Sadducees.,Weera dɔɔ te ɛ ta gyem nyi na bodobodo wose man nombia yaa mee kolosi fa ŋon ya? Mɔna ɛ kɛɛ ɛ wose man nideli lee Farasiitena na Sadukiitena wose man. Be dinɔɔ yɛɛ ŋgba tee keŋ bɛɛ mo do bodobodo man te kɛɛ koro nɛ.
MAT.16.12,1795,"Then they understood that he wasnt telling them to be on their guard for yeast used in making bread. No, he was telling them to watch out for the teaching of the Pharisees and Sadducees.","Botɔɔ te ɔ kaseela baŋ gyeŋawɔ nyi, na tee keŋ ne yeli bodobodo na koro nɛ yaa ɔ ne yako wɔ nyi baa kɛɛ ba wose man nideli na ke ya. Mɔna Farasiitena na Sadukiitena nombia ŋan bɛɛ wolo nɛ yaa ɔ ne yako wɔ."
MAT.16.13,1795,"Now when Jesus came to the area of Caesarea Philippi, he asked his disciples, Who do people say the Human One is.","Yesu na ɔ kaseela baŋ ka gyoo Kaesaria Filipi tɛɛle man nɛ, ɔ bɔɔse ɔ kaseela baŋ nyiaa, Balaŋ ne kolosi ma wose man nombia na be kpa maŋ Deniwalaŋ Bu ŋon yɛna amɔ."
MAT.16.14,1795,"They replied, Some say John the Baptist, others Elijah, and still others Jeremiah or one of the other prophets.","Keŋte ɔ kaseela baŋ tiranɔɔ nyiaa, Balaŋ baale kpa nyaŋ yɛna Gyɔn Wurubuarɛ loŋsɔɔre ŋon. Baale mɔ kpa nyaŋ yɛna Wurubuarɛ dekpeŋkpeŋgyɔɔre Elia, te baale mɔ kpa nyaŋ yɛna Wurubuarɛ dekpeŋkpeŋgyɔɔre Gyeremia, yaa Wurubuarɛ akpeŋkpeŋgyɔɔra baŋ man ŋolo."
MAT.16.15,1795,"He said, And what about you? Who do you say that I am.","Botɔɔ te Yesu bɔɔse wɔ nyiaa, Ɛmɛɛ mɔ de? Ɛ kpa maŋ Deniwalaŋ Bu ŋon yɛna amɔ."
MAT.16.16,1795,"Simon Peter said, You are the Christ, the Son of the living God.","Botɔɔ te Simɔn Pita tiranɔɔ nyiaa, Nyaŋ yɛna Kristo, nyeelɛɛre ŋon Wurubuarɛ be yako see nyi waa kɔŋ nɛ. Wurubuarɛ ŋon ɔ kyaa kekpaakekpaa nɛ Bu."
MAT.16.17,1795,"Then Jesus replied, Happy are you, Simon son of Jonah, because no human has shown this to you. Rather my Father who is in heaven has shown you.","Keŋte Yesu yako e nyiaa, Gyona bu Simɔn, nyaŋ na nyeebam, nawolo nyi na deniwalaŋ lese na nombia kɛŋa wola neŋ ya, mɔna me kya ŋon ɔ kyaa adido nɛ lese na ŋa wola neŋ."
MAT.16.18,1795,I tell you that you are Peter. And Ill build my church on this rock. The gates of the underworld wont be able to stand against it.,"Mena dɔɔ mɛɛ yako neŋ nyiaa, nyaŋ yɛna Pita, te n yele kenaŋ asɛɛ yɛna nyi boe. Nyaŋ boe kei dɔɔ te maa baake me balaŋ pou yilaa. Te yeŋ gba koraŋ be gyae ke tale di be dɔɔ ya."
MAT.16.19,1795,Ill give you the keys of the kingdom of heaven. Anything you fasten on earth will be fastened in heaven. Anything you loosen on earth will be loosened in heaven.,"Maa mo Wurubuarɛ gyoori keŋ safowaase do n nyiŋmaa man. Kpene kamasɛ keŋ nyaŋ ke gyɔ ke dowoe tɛɛle kei dɔɔ nɛ, baa gyɔ ke dowoe adido, te kpene kamasɛ keŋ nyaŋ ke booli ke tɛɛle kei dɔɔ nɛ, baa booli ke adido mɔ."
MAT.16.20,1795,Then he ordered the disciples not to tell anybody that he was the Christ.,"Keŋte Yesu faree ɔ kaseela baŋ nyi, be na yako walaŋ kamasɛ nyi ŋon yɛna nyeelɛɛre ŋon Wurubuarɛ be yako see nyi waa kɔŋ nɛ ya."
MAT.16.21,1795,"From that time Jesus began to show his disciples that he had to go to Jerusalem and suffer many things from the elders, chief priests, and legal experts, and that he had to be killed and raised on the third day.","Lee debaŋ kenaŋ pou nɛ, Yesu fiasɛɛ ɔ na lese nombia ŋan asɛɛ fa ɔ kaseela baŋ nyiaa, Kaboena nyi maa gyu Gyerusalɛm donɔɔ man, na me kaa naa diyem nideli Gyudatena kegyiise na Wurubuarɛ saese kegyiise na Gyudatena mmaraa wolala baŋ nyiŋmaa man. Baa ko maŋ, mɔna weeya atoorote keŋ man na, Wurubuarɛ waa gyuusu maŋ lee yeŋ man."
MAT.16.22,1795,"Then Peter took hold of Jesus and, scolding him, began to correct him: God forbid, Lord! This wont happen to you.","Botɔɔ te Pita moo Yesu lee yenaŋ te ɔ tɔɔ e nyi, Me Gbeŋgyoo, na yako mena ya. Wurubuarɛ dɛɛ mo kɛŋa gyu lem. Kɛŋa na kɔŋ n dɔɔ korakora ya."
MAT.16.23,1795,"But he turned to Peter and said, Get behind me, Satan. You are a stone that could make me stumble, for you are not thinking Gods thoughts but human thoughts.","Botɔɔ te Yesu gɛɛsewɔ kɛɛ Pita te ɔ yako e nyiaa, Ɔbɔnsam, ta lee me gyaŋ! N ne gyae n ke tɔ maŋ gbɛɛ. Nawolo nyi na Wurubuarɛ kegyaebii te n na gyueŋ ya, mɔna denibalaŋ kegyaebii te n na gyueŋ."
MAT.16.24,1795,"Then Jesus said to his disciples, All who want to come after me must sayno to themselves, take up their cross, and follow me.","Keŋte Yesu yako ɔ kaseela baŋ nyiaa, Akpaa ŋolo ne gyae waa sila maŋ na, ɔ na yɛɛ kpene keŋ ŋon gbagba ne gyae ya, mɔna waa mo ɔ ɔpaŋdaŋ keŋ seele, na waa sila maŋ wee kamasɛ."
MAT.16.25,1795,All who want to save their lives will lose them. But all who lose their lives because of me will find them.,"Nawolo nyi walaŋ kamasɛ ŋon ɔ ne gyae waa lɛɛ ŋon gbagba nyeedoŋ na, ke gyae ka lee ɔ nyiŋmaa man. Mɔna walaŋ kamasɛ ŋon ɔ nyeedoŋ da lee ɔ nyiŋmaa man lee maŋ Yesu na me nombia dɔɔ nɛ, waa bese nyiŋ ke."
MAT.16.26,1795,Why would people gain the whole world but lose their lives? What will people give in exchange for their lives?.,"Akpaa ŋolo de nyiŋ tɛɛle kei dɔɔ abɔɔ pou te ɔ nyeedoŋ da lee ɔ nyiŋmaa man na, woŋ tɔnɔɔ te waa nyiŋ? Yaa woŋ te walaŋ waa tale mo kyɛɛkee na ɔ nyeedoŋ?."
MAT.16.27,1795,For the Human One is about to come with the majesty of his Father with his angels. And then he will repay each one for what that person has done.,"Maŋ Deniwalaŋ Bu ŋon na me kpilala dɛɛ lee adido kɔŋ me kya Wurubuarɛ gyoorobiiri man, na me kaa tɔ walaŋ kamasɛ kom lee ɔ tom keŋ ɔ be yɛɛ nɛ man."
MAT.16.28,1795,I assure you that some standing here wont die before they see the Human One coming in his kingdom.,"Ampaŋ yaa mɛɛ yako ŋon ɛ ke nyii nyiaa, baale seŋɛɛ ɛ man kɛbo keŋ bɔɔ gyae baa yeŋ ya, kelii debaŋ keŋ maŋ Deniwalaŋ Bu ŋon maa lese ma wose wola me gyoorobiiri man."
MAT.10.1,1795,He called his twelve disciples and gave them authority over unclean spirits to throw them out and to heal every disease and every sickness.,"Yesu baake ɔ kaseela kufu bala baŋ kɔŋ ɔ gyaŋ, te ɔ faa wɔ doŋ keŋ baa mo gegi feliŋkumɛɛ lee balaŋ man, na baa kyɔ kaweese kamasɛ."
MAT.10.2,1795,"Here are the names of the twelve apostles: first, Simon, who is called Peter; and Andrew his brother; James the son of Zebedee; and John his brother.","Kpilala kufu bala baŋ yela yaa. Gyaŋgbate ŋon yɛna Simɔn, ŋon ɔ yele daale mɔ yɛna nyi Pita nɛ, na ɔ naabu Anderiase, na Sebedeo bu Gyemisi na ɔ naabu Gyɔn."
